1;1544.66;535.34;529.83;534.66;564.48;590.34;597.76;1562.93;1557.59;1554.83;1550.52;1541.55;1544.66;1542.41;1549.83;1545.34;1549.48;1549.83;1545.69;1538.62;1545.52;1552.76;1545.17;1333.62;1557.07;1338.79;1564.31;1583.62;1577.59;1673.10;1692.41;1416.90;407.41;393.79;387.76;378.62;66.72;450.17;451.38;453.97;457.24;465.17;288.62;274.48;260.69;256.21;251.03;244.48;241.90;240.00;243.97;238.97;243.62;243.62;241.72;243.62;242.76;240.69;244.48;256.21;251.38;254.48;268.28;278.28;608.10;603.79;584.83;506.90;552.59;550.69;525.52;522.76;0.00;0.00;0.00;0.00;
2;1436.38;341.90;359.83;555.52;1206.72;1202.93;1519.66;1473.28;1463.62;1455.52;1451.55;1441.72;1438.10;1441.72;1432.76;1436.72;1443.10;1438.45;1436.55;1451.38;1443.28;1434.83;1235.00;1243.28;1439.48;1230.52;1452.24;1214.14;1233.97;1543.79;470.52;453.62;413.10;395.52;388.45;383.10;522.41;408.79;429.66;427.93;515.86;522.76;523.62;386.03;371.90;358.97;355.69;354.31;350.00;349.14;348.28;341.72;342.76;341.72;349.14;350.00;350.34;350.86;351.55;356.90;361.72;367.07;655.86;650.52;649.48;646.55;644.83;640.86;536.90;535.34;518.28;516.03;0.00;339.95;-335.87;1011.00;
3;1321.03;307.93;321.90;326.55;1575.52;1425.52;1378.62;1362.41;1358.28;1332.76;1326.55;1321.72;1323.79;1319.31;1322.59;1321.72;1318.45;1325.52;1322.59;1321.55;1321.90;1333.45;1321.55;1328.45;1321.90;1318.45;1347.24;1324.83;1332.41;1434.14;1162.24;1169.66;420.17;392.59;386.72;383.28;526.03;405.86;423.10;601.72;513.10;514.31;597.76;485.86;479.31;478.79;469.31;467.76;463.10;459.66;463.45;464.83;461.72;460.34;461.72;461.21;463.97;467.59;468.10;470.69;479.48;496.90;536.90;715.86;723.45;652.24;646.72;709.83;355.69;333.97;314.31;312.59;0.00;353.92;-360.91;1012.00;
4;1210.86;295.34;302.07;302.07;1041.21;1051.72;1228.28;1218.28;1217.07;1214.14;1212.76;1214.83;1210.00;1209.48;1203.79;1205.69;1208.79;1204.48;1204.83;1206.21;1206.21;1204.14;1205.34;1206.21;1215.86;1215.69;1228.62;1227.07;1226.90;1244.31;1257.76;1351.90;1177.07;410.86;402.24;390.86;423.45;406.38;410.69;424.83;442.41;670.52;625.69;620.34;597.59;602.59;585.86;586.03;585.34;584.31;584.48;579.83;582.59;579.48;577.59;579.14;578.45;583.97;584.66;589.31;592.76;591.38;599.48;610.86;631.55;633.45;648.62;688.28;781.03;314.31;314.66;295.00;0.00;358.58;0.00;1011.00;
5;1084.66;1539.31;1150.17;1362.41;1267.93;1150.17;1123.62;1116.90;1113.10;1107.24;1097.41;1094.31;1089.31;1087.59;1091.03;1090.00;1093.62;1088.62;1089.66;1093.10;1093.45;1094.48;1094.14;1100.52;1106.21;1121.55;1113.28;1160.34;1128.28;1224.31;1219.83;1213.10;415.69;404.14;397.41;394.14;774.66;408.45;417.93;437.24;818.62;775.17;745.86;736.03;715.17;715.00;706.21;704.83;699.48;699.14;691.90;688.97;688.97;691.38;698.45;698.79;695.69;700.52;701.55;702.59;708.10;709.31;718.97;734.14;749.31;759.48;777.59;824.66;318.79;301.21;281.55;275.69;0.00;356.25;-353.92;1011.00;
6;979.48;309.14;1079.66;1050.52;1108.28;1033.97;1018.28;1005.34;998.97;990.34;984.83;982.59;980.00;977.76;974.31;975.00;967.07;967.93;971.90;971.90;978.10;980.00;978.97;984.14;986.03;990.69;997.24;1011.55;1017.93;1029.48;1052.41;1093.97;1114.48;407.41;404.48;398.62;507.41;417.76;486.72;503.79;508.10;854.14;856.03;836.21;833.62;828.45;822.24;820.52;816.03;814.14;810.69;809.66;809.14;809.31;807.24;807.41;805.00;806.72;812.76;817.76;817.76;823.45;830.34;839.66;850.17;869.14;878.97;327.24;295.17;282.07;275.69;271.21;0.00;356.25;-362.94;1011.00;
7;856.03;293.10;1026.72;1017.59;1022.59;1009.14;992.24;888.28;885.86;872.07;862.76;864.48;866.90;862.07;861.38;857.24;857.24;860.86;861.90;857.41;861.72;862.24;860.00;865.17;868.10;873.79;920.86;973.97;948.97;1009.66;1008.62;1014.14;430.69;414.14;410.69;401.21;1015.52;418.45;428.79;1039.48;560.00;580.52;531.21;553.62;954.48;943.79;940.69;927.76;925.86;926.21;928.10;924.66;927.24;926.72;925.86;926.72;927.24;926.55;927.93;928.10;934.48;941.21;957.07;1025.17;994.14;358.45;319.66;297.93;285.86;282.24;279.66;274.31;0.00;356.25;-362.94;1010.00;
8;740.34;300.17;1325.17;1296.21;1267.41;798.28;779.83;774.14;765.34;758.28;759.14;753.97;751.55;747.93;744.48;741.21;741.21;739.66;744.14;745.86;746.55;746.38;747.93;752.93;757.24;755.52;770.00;775.17;800.86;891.21;891.55;897.93;901.90;427.41;416.38;405.86;1103.10;424.83;435.52;452.93;1112.24;1092.59;1074.48;1067.24;1064.66;1058.62;1057.41;1048.28;1047.41;1046.38;1042.07;1041.21;1041.21;1038.28;1031.21;1031.72;1032.07;1036.55;1041.38;1048.45;1053.79;1055.52;1073.62;1087.24;1097.93;1131.72;1110.00;314.31;293.28;288.45;278.45;273.62;0.00;356.25;-356.83;1011.00;
9;621.72;302.76;1171.38;856.55;826.55;714.48;672.07;659.14;652.59;638.97;638.10;632.76;632.59;630.86;627.24;623.10;620.34;620.52;623.45;627.24;625.86;627.76;631.55;633.62;633.45;643.28;645.86;659.48;669.48;804.48;807.76;814.31;453.79;434.83;419.83;413.97;520.69;429.48;433.62;447.76;474.31;513.45;527.59;1245.00;1195.69;1192.41;1186.72;1172.76;1171.38;1166.03;1166.38;1160.86;1158.79;1158.45;1156.55;1154.48;1155.34;1155.86;1163.28;1165.86;1190.86;1192.93;1211.21;1211.55;1226.21;1176.03;1085.69;330.52;295.17;284.31;284.14;278.28;0.00;367.89;-365.56;1012.00;
10;508.62;303.45;720.69;660.00;652.59;723.10;662.24;684.48;530.52;520.34;520.34;519.14;513.97;509.14;508.62;505.17;504.66;501.90;504.83;508.10;509.31;513.45;513.79;515.17;520.34;517.07;539.83;702.07;706.72;703.79;702.76;477.24;446.90;437.59;425.17;420.52;1331.90;443.97;445.69;453.79;468.79;477.07;1305.69;1299.66;1292.41;1292.24;1288.62;1287.07;1281.38;1280.34;1278.97;1279.48;1274.14;1276.21;1273.45;1270.52;1278.97;1273.97;1280.69;1292.41;1292.41;1289.66;1283.97;1265.52;1261.72;1270.52;1258.97;306.03;289.83;290.17;280.00;278.10;0.00;367.89;-367.60;1011.00;
