0.00;0.00;77.71;82.66
0.00;0.00;88.19;83.24
0.00;0.00;89.94;0.00
0.00;0.00;88.48;79.17
0.00;0.00;85.28;81.20
0.00;0.00;78.29;81.79
0.00;0.00;0.00;66.65
0.00;0.00;84.41;0.00
0.00;0.00;79.46;78.00
0.00;0.00;77.71;79.17
0.00;0.00;87.61;81.20
0.00;0.00;85.28;77.13
0.00;0.00;80.33;0.00
0.00;0.00;79.17;78.88
0.00;0.00;76.84;79.17
0.00;0.00;77.42;78.88
0.00;0.00;85.28;79.46
0.00;0.00;88.48;79.17
0.00;0.00;85.28;81.79
0.00;0.00;0.00;77.71
0.00;0.00;73.35;78.58
0.00;0.00;78.29;79.17
0.00;0.00;78.88;79.17
0.00;0.00;0.00;79.17
0.00;0.00;72.18;81.20
0.00;0.00;77.42;82.66
0.00;0.00;80.91;78.58
0.00;0.00;0.00;81.20
0.00;0.00;74.51;0.00
0.00;0.00;78.88;82.37
0.00;0.00;79.17;78.00
0.00;0.00;77.42;79.17
0.00;0.00;77.42;77.13
0.00;0.00;85.28;0.00
0.00;0.00;88.48;79.46
0.00;0.00;78.88;81.20
0.00;0.00;0.00;79.17
0.00;0.00;79.17;79.17
0.00;0.00;0.00;0.00
0.00;0.00;0.00;79.17
0.00;0.00;90.52;0.00
0.00;0.00;88.48;0.00
0.00;0.00;85.28;79.17
0.00;0.00;78.29;78.88
0.00;0.00;0.00;0.00
0.00;0.00;77.42;0.00
0.00;0.00;0.00;77.42
0.00;0.00;0.00;0.00
0.00;0.00;78.58;78.00
0.00;0.00;77.42;0.00
0.00;0.00;80.91;81.49
0.00;0.00;73.35;80.33
0.00;0.00;0.00;0.00
0.00;0.00;85.28;79.46
0.00;0.00;0.00;0.00
0.00;0.00;0.00;81.49
0.00;0.00;71.02;0.00
0.00;0.00;0.00;86.15
0.00;0.00;75.67;0.00
0.00;0.00;80.33;79.17
0.00;0.00;79.17;81.79
0.00;0.00;77.42;0.00
0.00;0.00;80.91;80.91
0.00;0.00;72.76;0.00
0.00;0.00;80.91;0.00
0.00;0.00;79.46;81.79
0.00;0.00;77.71;79.46
0.00;0.00;88.48;81.20
0.00;0.00;78.00;81.49
0.00;0.00;79.17;81.20
0.00;0.00;73.35;79.17
0.00;0.00;74.51;79.17
0.00;0.00;76.55;79.17
0.00;0.00;88.19;79.17
0.00;0.00;75.67;78.00
0.00;0.00;80.33;0.00
0.00;0.00;77.71;80.62
0.00;0.00;80.33;66.65
0.00;0.00;79.46;75.96
0.00;0.00;0.00;77.71
0.00;0.00;0.00;76.26
0.00;0.00;90.81;93.14
0.00;0.00;80.33;78.58
0.00;0.00;79.46;81.20
0.00;0.00;0.00;81.49
0.00;0.00;80.33;80.33
0.00;0.00;79.46;77.42
0.00;0.00;77.71;80.91
0.00;0.00;80.33;81.79
0.00;0.00;79.17;85.28
0.00;0.00;81.79;76.84
0.00;0.00;77.71;78.00
0.00;0.00;78.58;79.17
0.00;0.00;77.42;81.79
0.00;0.00;80.91;90.81
0.00;0.00;79.46;77.42
0.00;0.00;77.71;75.67
0.00;0.00;76.84;77.13
0.00;0.00;84.11;76.84
0.00;0.00;79.17;0.00
