turns = 2; speed = 50
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
0.00;719.48
turns = 4; speed = 200
0.00;0.00
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1439.26
0.00;1438.67
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;0.00
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;0.00
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;0.00
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;0.00
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;0.00
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
0.00;1438.97
turns = 9; Speed = 200
0.00;2877.93
0.00;2878.22
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;2879.97
0.00;2880.84
0.00;2879.68
0.00;2879.97
0.00;2881.42
0.00;2879.09
0.00;2877.93
0.00;2880.26
0.00;2881.42
0.00;2881.42
0.00;0.00
0.00;2879.09
0.00;2877.93
0.00;2880.84
0.00;2882.00
0.00;2880.26
0.00;0.00
0.00;2879.09
0.00;2877.64
0.00;2877.64
0.00;2877.93
0.00;2877.93
0.00;0.00
0.00;0.00
0.00;0.00
0.00;2880.26
0.00;2878.51
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;2877.64
0.00;2877.93
0.00;2877.93
0.00;0.00
0.00;0.00
0.00;2878.22
0.00;2877.64
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;2878.22
0.00;2877.64
0.00;2878.22
0.00;2877.64
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;2878.51
0.00;2880.26
0.00;2882.00
0.00;2878.22
0.00;2879.97
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;0.00
